path	provenance	license	header_owners	source_reference
aspire/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/.agents/skills/yam-simulation-transfer/references/robosuite_two_arm_handover.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/agent_config.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/debug_events.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/profiler.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/providers/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/providers/nvidia.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/providers/nvidia_server.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/recorder.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/robot_adapters/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/robot_adapters/base.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/robot_adapters/real_yam.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/script_backends.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/skill_registry.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/tool_handle.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/tools/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/tools/_artifact_log.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/tools/base.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/tools/detection.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/tools/freespace_move.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/tools/grasp_anygrasp.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/tools/native.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/tools/vlm/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/tools/vlm/backends/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/tools/vlm/backends/nvidia.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/tools/vlm/transport.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/agent/tools/vlm_query.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/config.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/constants/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/constants/planning.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/debug_ui/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/debug_ui/app.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/env/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/env/base.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/env/base/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/env/base/profile.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/env/base/protocols.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/env/real_bimanual_yam/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/env/real_bimanual_yam/dashboard.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/env/real_bimanual_yam/env.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/env/real_bimanual_yam/skills.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/integrations/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/integrations/motion/__init__.py	NVIDIA-authored	Apache-2.0	NVIDIA	ASPIRE after CaP-X baseline
aspire/real/cap/integrations/motion/pyroki_snippets/__init__.py	PyRoKi through CaP-X with NVIDIA modifications	MIT + Apache-2.0 modifications	PyRoKi + CaP-X + NVIDIA	chungmin99/pyroki@95afccc22658c461ab1042a048ae4e9c24bc2a47; ASPIRE real integration
aspire/real/cap/integrations/motion/pyroki_snippets/_online_planning.py	PyRoKi through CaP-X with NVIDIA modifications	MIT + Apache-2.0 modifications	PyRoKi + CaP-X + NVIDIA	chungmin99/pyroki@95afccc22658c461ab1042a048ae4e9c24bc2a47; ASPIRE real integration
aspire/real/cap/integrations/motion/pyroki_snippets/_solve_ik.py	PyRoKi through CaP-X with NVIDIA modifications	MIT + Apache-2.0 modifications	PyRoKi + CaP-X + NVIDIA	chungmin99/pyroki@95afccc22658c461ab1042a048ae4e9c24bc2a47; ASPIRE real integration
aspire/real/cap/integrations/motion/pyroki_snippets/_solve_ik_vel_cost.py	PyRoKi through CaP-X with NVIDIA modifications	MIT + Apache-2.0 modifications	PyRoKi + CaP-X + NVIDIA	chungmin99/pyroki@95afccc22658c461ab1042a048ae4e9c24bc2a47; ASPIRE real integration
aspire/real/cap/integrations/motion/pyroki_snippets/_solve_ik_with_base.py	PyRoKi through CaP-X with NVIDIA modifications	MIT + Apache-2.0 modifications	PyRoKi + CaP-X + NVIDIA	chungmin99/pyroki@95afccc22658c461ab1042a048ae4e9c24bc2a47; ASPIRE real integration
aspire/real/cap/integrations/motion/pyroki_snippets/_solve_ik_with_collision.py	PyRoKi through CaP-X with NVIDIA modifications	MIT + Apache-2.0 modifications	PyRoKi + CaP-X + NVIDIA	chungmin99/pyroki@95afccc22658c461ab1042a048ae4e9c24bc2a47; ASPIRE real integration
aspire/real/cap/integrations/motion/pyroki_snippets/_solve_ik_with_manipulability.py	PyRoKi through CaP-X	MIT	PyRoKi + CaP-X	chungmin99/pyroki@95afccc22658c461ab1042a048ae4e9c24bc2a47; LRY89757/Holos@823fcc5dd3e565b45b414f5785668cf32cba13b4:capx/integrations/motion/pyroki_snippets/_solve_ik_with_manipulability.py
